full_text,label
cobadeh liat update pt pp pt wika pt manapun deh membangun ikn sebagus rancangan ikn konsep kota ramah lingkungan kalo sampe dilanjut sedih sih membuang peluang,Positive
abis revisi uu ikn tahun kemaren udah mengatur pendanaan ikn skema pinjaman hutang limit pendanaan apbnnya udah tercapai ngakalin pake ujungnya hutang apbn,Negative
ribu cpns muda dites ditempatkan ikn maret ikn anies hanyut pilih prabowo melanjutkan ikn,Negative
sat set melanjutkan ikn proyek tinggal gaspoll membangun,Positive
ai banua ni saraba ngalih kd nang kaya jawa mun ditelaah ikam meanggap ikn tuh obat gsn pemerataan ekonomi salah jua nyatakan salah tu salah perbaiki gawi bujur,Negative
lu tolol gimana ikn kalo anggarannya bensin sejahtera rakyat bertahun tahun ikn ikon bikin anggaran membengkak fuck investor,Negative
ikn warga wajib dibahagiakan disejahterakan,Positive
ganjar mahfud melanjutkan program ikn sat set,Positive
manamana munnya pindah ibukota tuh administrasi pindah pusat ekonomi situsitu mun ikam bealasan pemerataan ekonomi solusinya majukan daerah km sorang berantas korupsi pemda ikn tuh solusi gsn pemerataan ekonomi solusi permasalahan,Negative
keberpihakan gua capres manapun kalo bicara ikn sungguh miris ikn sepenting negara loh bisabisanya dipenuhi,Positive
pengusaha tambang cukong ikn pejabat artis keuntunganmu coba pilih ikhtiar mendobrak status quo gitu,Negative
setau ku nolak ikn penuh prioritas aja program urgent ikn audit total aspek layak lanjutkan pembangunannya perlahan lahan,Neutral
amunnya narasi pemerataan ekonomi tuh dipakai gsn membela ikn buktinya pindah ibukota tuh berbanding lurus pertumbuhan ekonomi paperwork ikn singkat bnr tuh kypa kabarnya handak beagak pindah ibukota penelitian seadanya,Negative
kak kayu dibabat lokasi ikn kemana ku kepo,Neutral
mba ganti presiden kelarkelar deh zaman sby kalo fokusnya kesitu ikn prioritas bisabisa dibiarkan mangkrak,Negative
kak sera buzzer capres manapun kalo pembangunan ikn prioritas lantas selesainya ikn kalo prioritas terbengkalai sudahsudah,Neutral
mknya investor ikn ngotak cabut invest takut reklamasi jilid wkwkw,Negative
bisalah ekonomi dli jawa selesaikan ikn maaf komitmen amin kalimantan no percaya bukuikan febuari dpt suara pilih relawan,Positive
kemenpanrb memperketat seleksi asn dipindah ikn nusantara,Neutral
dibaca guys ikn kampanye politik mudah percaya kalo ikn sepenting rakyat negara presiden melanjutkan ikn rencana ikn zaman karno palangkaraya harto jonggol,Positive
ikn food estate dipaksakan cek sj lahan disitu sj proyeknya transaksi namanya konsolidasi mengatasnamakan keutuhan negara silakan cek ricek paham,Negative
kalteng menolak ikn lagipula jarak kalteng ikn an wkwkk penajam,Negative
wkwkwk diliat fraksi setuju ruu ikn perasaan pks nolak,Positive
ku aja merantau bilang jaman ikn diadakan perubahan kalimantan udah kyk dlu mati lampunya berhari pulapokonya udah kayak dlu hutab doang jalan aja mulus skrg,Positive
hunian pns rumah menteri ikn nusantara tersambung jaringan gas bumi,Neutral
sebenernya maunya ikn maunya pemerataan nih,Neutral
ngeliat rancangan arsitektur tata kota ikn takjub jokowi bangun ibukota atlantis cantik banget,Positive
robot menggantikan manusia ikn kepala otorita,Neutral
ikn resmi jkt ikn fansnya,Neutral
ikn dilanjut dikaji ulang anies sbg akademisiteknokrat gabisa memutuskan riset mahasiswa paham blm ambil kesimpulan data dibahasdikaji anies udh berkali bilang apbn sesuai,Positive
drpd ikn mending lu selametin jakarta dr tenggelam,Negative
bikin skema hutang jual sbn ikn bansos waktu covid sbn jangka tenor tahun kendalanya tingkat fraud kejahatan keuangan indonesia tingg,Negative
gilaaaa salma sheryl digbungin dblkill cok ktawa ngakakny ss muter diotak gw smpe skrg prut gw keram ngakk mulu ni collab party pecah gw dr bahs musik ikn cupang muka ditruk suara ngakakny sih gokss,Neutral
ikn pemerataan bego banget dah ah,Negative
menteri ppnkepala bappenas suharso monoarfa membantah tudingan investor enggan proyek kota negara ikn nusantara,Neutral
kalo emg ikn simbol pemerataan pembangunan segi rata mindahin daerah kalimantan daerah ikn dapet org sumatra papua dapet ikn ikn proyek nasional skala dpet manfaatnya cm aja,Negative
org lg merantau kota ikn menciptakan jakarta kedepannya ttep merantau kesana puluhan taun aja daerah ikn ngalamin isu iklim amp,Negative
ikn gitu jakarta full pembangunan merata solusinya dipindah pertanyaannya jkt overload knp org berbondong urbanisasi jkt jkt solusi amin bikin kota kayak jkt pembangunan merata kota dapet manfaatnya,Negative
akal program upgrade kota setara jakarta drpd ikn lagilagi ikn kayak program susu makan gratis solusi instan stunting dikasih makan jakarta full dipindah,Negative
prinsipnya kesempatan kalangan ikn program dg budget byk kalo dapet manfaat cm org aja jakarta daerah ikn pemerintah dll pas baca berita ikn didasari sbg simbol pembangunan budget segitu simbol,Negative
khawatir dr gerak geriknya most likely lanjutin ikn bilangnya dikaji ulang nonton desak anies video beliau tercerahkan prinsip beliau diaplikasiin kontekskebijakan,Neutral
kemarin ngobrol sm temen ttg ikn gamau milih capres meragukan keberlanjutan ikn jakarta udh darurat isu iklim amp,Positive
coba bilang ikn gaguna dibaca anak kalimantan relate,Negative
sianis imin tolak ikn hilirisasi,Negative
pengennya prabowo trus bapaknya si gibran deh pengennya lanjutkan ikn lanjutkan lanjutkan perkaya tuh cina masukkan imigran cina sebanyakbanyaknya udah de,Negative
ikn undangundang tetep dikaji ulang kayak anggaran dll nyaa,Positive
gue paham grand design dipikiran bos pembangunan ikn pembangunan kc but man utopis,Negative
iyaaaa maaf salah ngetik niat apapun membawa opini ikn salah faktor mempengaruhi,Neutral
random bgt baca berita perencanaan tata kota ikn komen rental psnya dmn min,Neutral
ahy khawatir pembangunan ikn mangkrak rakyat menderita,Negative
sekedar info mas coba bawahan mas memguasai lahan disekitar ikn tercenagang mendengarnya berani menertibkan penguasa lahan disekitar ikn kaltim,Negative
biarin wowok pindah ikn,Negative
ikn nusantara,Neutral
jd inget pas anaknya ditanyain investor ikn negeri nyuruh googling,Negative
coba chek ulang deh kak dipakai ikn hutan monokultur ikn pohonnya ditebang industri kertas tissue,Neutral
titip iknpsn titip sawitbatubaranikel titip uu ciptakerkpk titip anakku,Neutral
juli ikn logis perekonomian kondisi masyarakat indonesia baikbaik,Negative
kenyataannya emang gw tinggal disamarinda tahun peduli mayoritas peduli aksi pemilih terbesar pembangunan ikn,Neutral
berani mengkritisi ikn lahan tambang sawit,Negative
dukung investasi ikn ahy habishabisan apbn,Neutral
intinya pembangunan ikn dipaksakan gembar gembor bilang ikn tanda kemajuan bangsa indonesia riset mendalam pengen memenuhi ego angannya indonesia negara maju,Negative
kamis indonesia februari pemilu presiden ri apbn bumn ikn nusantara km reformasi selesai shp pin merah putih rp reformasi asembagus situbondo tapal kuda jawa timur jelang ramadhan lpdp,Neutral
mantap ikn,Positive
dr segi animal welfare ikn dibangun wilayah satwa liar dibilang gimanapun kenyataan dibangunnya ikn udh melanggar merusak ekosistem,Negative
aspek dinilai animal welfare potensi sumber daya kehidupan manusia ekologis dll tebak tim audit mengeluarkan hasil ikn layak dibangun,Negative
kenalan proyek terkait uji kelayakan ikn beliau salah ahli terkait satwa liar ekologi dibangun tim audit menilai ikn layak dibangun,Negative
stlh ber tahun mengkritik pedassss jokowi menolak ikn menghina infrastruktur jln tol dn bendungan dibangun ktnya rakyat dak jalan tol ahy dn demokrat skr diangkat jd mentri br terpukau dg ikn meuja meuji jokowi ky prabowo kuuu,Negative
meanehile ikn tahun source,Neutral
beda ucapan ahy ikn kritik habishabisan puji jokowi ngaku tinggal ikn via,Negative
dgr menteri kunjungan iknjgn lupa suasana hutan gundul dsn putar video pakkyknya pasapakah bpk sdkitpun malu mnjilat ludah sndiri,Negative
ikn ahy terpukau rakyat terpukul,Negative
investor menteri ahy mendukung pembangunan ikn kementerian atrbpn pekerjaan rumah tugas utama bidang pertanahan tata ruang pelaksanaan dijalankan koordinasi lintas sektor,Positive
bisnis diharapkan berkembang ikn menyedot investasi mengembangkan ekonomi ikn nasional optimisme indonesia memiliki daya tarik investor,Positive
kementerian agraria tata ruangbadan pertanahan nasional atrbpn bertugas lahan clean and clear kunjungan kerjanya kawasan inti pusat pemerintahan kipp ikn rabu menteri atrkepala bpn agus harimurti yudhoyono,Positive
repost from atrbpn proses pembangunan kota nusantara ikn berjalan samping fokus pembangunan infrastruktur fasilitas wilayah ikn pemerintah tengah berupaya menarik investasi negeri berkaitan upaya,Neutral
instrumen bermain sbenarnya pemilu ikn selesai amp,Neutral
ikn tpi tambang ayo mikirnya dibalik positif tambang ad era dn tbukti smp skrg negara bpusat jakarta menghentikanya smoga mnghadirkan negara pusat tambangnya mudah,Positive
progres pembangunan hunian asn bin basan intelijen negara ikn,Neutral
pemerintah buka rekrutmen asn penempatan ikn kuota persyaratan kompetensi asn dipindahkan ikn menguasai literasi digital prinsip ikn _ wan abud jegel dispatch endgame best skill karina,Positive
emang sih lebay kalimantan modern ikn jakarta dsktrny,Positive
laen emang ikn setara gunung meletus,Negative
obor cina sekutu culas indo tiongkok proyek ambisius ikn kereta cepat kekuasaan tambang tenaga bebas berkuasa undangundang diatur kiblat tiongkok negeri berdaulat bertanyalah bayak ahli istana dihuni penjilat,Negative
ikn,Positive
terpopuler mengkritik ahy terpukau ikn kppu bentuk tim investigasi kenaikan harga beras,Positive
ujungnya suruh pindah ikn ngatasi macet dahlah capek bener janjinya dl omdo bngt ktny jd pres gampang ngurusin ko,Negative
siapsiap kabar amerika amp,Neutral
cegah ancaman datangi ikn tni persiapkan batalion ribuan personel kota,Positive
mas menteri serahkan sertipikat hak pakai seluas hektar markas komando gabungan wilayah pertahanan ii bentuk kesiapsiagaan pertahanan lingkungan ikn,Positive
repost menteri atrkepala bpn agus harimurti yudhoyono ahy wamen atrwaka bpn raja juli antony kunjungan provinsi kalimantan timur tepatnya kota nusantara ikn,Neutral
emang pas ikn diarea kalsel perairannya dangkal tpi transportsi laut hulu draf trtentu menghalangi kapal selem mendekat kapal logistik lancar,Neutral
repost kunjungan kerjanya kawasan inti pusat pemerintahan kipp ikn rabu menteri atrkepala bpn agus harimurti yudhoyono ahy kepastian hukum hak tanah mendorong peningkatan investasi,Neutral
jokowi otak engga kereta cepat jktbdg commuter line jabodetabek mass rapid trans jk anggarannya dialihkan mrt jabodetabek macet berkurang alasan pindah ikn dasar badut,Negative
apaa maksudnya yaah dikit lgi pindah ikn,Negative
masyarakat indonesia buta proyek ikn kalimantan yokk dirilis yokk amdal ikn biar baca awam ahli,Neutral
officially cult jpo aja mental gymnastics macem kek ngga beda mental gymnastics defense ikn kcic,Neutral
ikn tu aphhh babi hutan khh,Negative
kirain sy terpukau dikasi jabatan menteri dr thn tereaktereak,Negative
dr oposisi dibilang diberhentikan menunda alih fungsi prioritas ikn dr sektor ketimpangan pendidikan kesehatan ekonomisembako ketimpangan pemerat,Neutral
giring opini ikn berpengaruh ngasih tau tau kalo udah aja parah ikn,Negative
pembangunan ikn ditakutkan parah berpengaruh,Negative
jarang keliatannya pesut mahakam udah lamaa pembangunan ikn waktu faktor utamanya habitat jalur transportasi bawa batu bara airnya kotor,Negative
liat twt edit twt ralat dikit ketikan ku maaf banget bilang ikn salah faktor yaa,Negative
eh iya maaf yaa tuh gituu pembangunan ikn faktor utama waktu tuh ikn ikn pesut mahakam terancam,Neutral
berita ekonomi populer money,Neutral
kota pindah ikn tukin pns jakarta maksimal persen,Neutral
ketambahan ikn,Negative
ka rama hrs ikn bukti pengerjaan ikn,Positive
bayar iknhii menindas rakyat pembayara hutang dng pajak naikin yaana dukung sejahtra rakyat pemerintah bobrok paksaintapi ana tunggu samape indinesia,Negative
alih perhatian pilpres ekonomi hancuuur kalimantan jual indonesia negara gagalter sandra kho phing ho gara joko pki gila infrasruktur bangun istana ikn pilpres kehancuraanekonomi,Negative
penyebab bunuh pesut diatasi disalahin ikn,Negative
tunggu aja ikn sampe dimana pemerintah pemerintah carut marut birokrasigimna majuklo rakyat kobrankita liat sampe anak cucu sengsara,Negative
terpukau ikn tertawa beliau,Negative
udah pin lu tdr dl pin tone deaf bgt anjir mewahnya pejabat bs dinormalisasiin iye pertanyaannya gmn org asli bs survive ikn ngebawa aparatur dr jatohnya mrk dpt senengnya lahannya keambil,Negative
mas dah rancangan jaman setidak lian sikon pa jokowi mgebangun ikn waktu covid paksainmenurut gue bodo kenpa uang bikin lapangn oranh,Negative
daripd jual manpaatin aja gusur mensejahterakan rakyat mensejahtrakan pegwai pemerintah hiiana tau beli tinggal ikn biaya sewa mahal,Negative
ikn tuk kaya aja sampe tanah rampas aseng msih aja dkung si kodok yah emg org sdm rendah,Negative
kota layak pindah ikn sejuk pohonya kota moderen kelilingihutan,Positive
program dimsukn thn harga bansos pemilu ikn mk kpk kpu bawaslu sirekap aksi kantor icw gelar kehormatan pandangan kegoblokan terbesit dlm kepala dipaksa sehat dinegeri sakit,Negative
hahaha kocakk ikn tambang batu bara kocar kacir main sungai mahakam bang liat tuh kapal macet karna masifnya pertambangan pas ikn pindah tambang illegal diberant,Negative
penampakan rumah dinas menteri bertugas kota nusantara,Neutral
rusun asn ikn persen proyek jalan ramadan lebaran,Positive
iya lahan kalimantan dipake sm org kalimantan dateng org bangun ikn konotasi bahasa pola pikir lu lg brantakan ayo jd abdi negara sesuai konteks,Negative
makan es krim dijilat ikn mimpi mimpi bangsa,Negative
semoga sukses lancar pembangunan ikn,Positive
ahy terpukau ikn jokowi mahakarya pusat peradaban,Positive
kecewa dinasti politik amp,Negative
iba pesut anti ikn,Negative
menteri atrkepala bpn agus harimurti yudhoyono kesan kalinya mengunjungi kota nusantara ikn kalimantan timur,Neutral
gw ud ngomong kalah blm si wkkwkwkw gw pduli ttg lu gw nyinggung lu sbg anak tni bangga ikn buta rakyat nasibnya jelek lu mudahnya nanya kontribusinya anjeng,Negative
ngebandinginnya titik nol ikn nentuin aoi pakai project footprint asw belom cumulative impact menyebalkan,Negative
menteri atrbpn agus harimurti yudhoyono progres terbaru terkait pengadaan tanah kota nusantara ikn,Neutral
tulang sisa ahai terpukau ikn,Neutral
om ahy terpukau ikn tanda terpukau takjub terpukau aslinya gambarkan jkw,Positive
pangkat tolong jaga anakku megaraku dinastiku ikn ku bisnisku legalitasku,Negative
gemoy lantik ikn tenggelam tunggu aja,Negative
pembohongloeee tinggal ikn sonogk macettt ikn,Positive
udah sih anggap aja ikn kota setara jakarta kota nyusul,Neutral
ikn pejabat bakar duit,Negative
amin lantik pendukung gigit jari pragib lantik ikn hancur hidup tuh pilihan,Negative
panglima tni jenderal agus subiyanto personel tni pindah kota nusantara ikn tahun agus pidato rapat pimpinan rapim tnipolri,Neutral
pelaku pengancaman pekerja ikn ditangkap terancam hukuman tahun penjara,Negative
menteri atrbpn agus harimurti yudhoyono upaya kementerian dipimpinnya menyukseskan pembangunan kota nusantara ikn,Positive
min ikn amdal diakses sih,Neutral
solusinya klau ikn pemerintahan kementerian lembaga komisi pindahkan kesana jakarta fokus bisnis,Positive
oalaa kalo rakyat mah kebagian yaaa ikn angkatan darat dibagi sesuai pangkatjabatan rakyat jabatan,Negative
rezim jago kandang hutang hutang buktinya jual ikn bule,Negative
panglima pindahkan prajuritnya ikn tahun,Neutral
terpukau rakyat menonton video ikn,Negative
berubah sesuai situasi kondisi toleransi,Neutral
trilyun niat ngebangun alihin aja ikn wi,Negative
jam segini fyp tiktok isinya ikn pengen balikpapan,Neutral
tni bangun kodam indonesia salah satunya ikn,Positive
sikap ahy beda mengkritik proyek pemerintahan pelantikan serentak pengurus dpc demokrat sejawa barat november ahy menganggap proyekproyek era jokowi sebutan mercusuar menyedot anggaran negara,Negative
mencari informasi pengen tinggal ikn,Positive
ikn cuy,Neutral
semoga ikn bertransaksi bitcoin pake fiat,Positive
yaudah amdalnya ikn,Negative
super mahakarya tugu bamboe mesoem made in wan angin maz braaykalo ikn maah blm apanyaa,Negative
ikn pusat pemerintahan ekonomi berfokus jakarta program pemerintahan transmigrasi maaf penggunaan pribumi diganti wni aja ena,Negative
gw tau deh maksudnya kalo chaos kerusuhan ikn uu dibawa jokowi gagal total parah hambalang uangnya udah keman tau dilema rakyat menyakitkan seeprti,Negative
bener ikn emang keuntungan pemerintahan disitu presiden lanjutkan modalnya udh dikit era soeharto trus setau,Negative
gue gatau dibawa proyek brimob kalo ikn,Negative
perdana kunjungi ikn ahy terpukau mimpi presiden jokowi,Positive
terpaksa berkacamata hitam ahaye malu dulunya nyinyirin ikn,Negative
ribuan pejabat dipindah ikn juli diusul insentif rumah sewa via,Positive
gubernur atasi kemacetan jakarta pas pilpres ngomong kalo macet amp,Negative
makasih udah tenangin ttg drama ikn an,Positive
wacana ikn keliatan gimna rusak yaaa oh borneooo,Negative
trlalu bnyk akrobat politik rakyat speechless dr smua progr janji kampanye terpenuhi thn trakhr prog pembngnan fokus infrastruktur jln tol ikn hilirisasi nikel amp,Negative
km deket btw konteks lingkungan masif in denial emang pembangunan ikn pengurangan daerah hijau pembalakkan hutan ngefek efek negatif emg keniscayaan pembangunan ikn keliatan banget pake amdal,Negative
keputusan teknis policy melatarbelakangi,Neutral
hahahaha lucu ama kritik jakarta peduli ikn cari duit jakarta gw tunggu deh loe pindah ikn,Negative
gw tunggu pindahan loe ikn bagus ikn cari nafkah jakarta,Negative
habis ikn lahan food estate boss,Negative
bener ego noh rumah pejabat lu ikn marmer masi belom rata,Negative
anjrot belom setahun misuhmisuh ikn terpukau wkwkwkw,Negative
bikin ikn tandingan,Negative
alhamdulillah ikn,Negative
butuh kekuasaan lupa rakyat hrs diperjuangkan beras langka telur ditinjau ikn,Negative
elon musk tertarik ikn,Positive
ikn menarik perhatian,Positive
ikn pesat pembangunannya,Positive
ikn impian jokowi impian rakyat kalo ikn impian jokowi ndak diteruskan rakyat ndak butuh ikn butuh jokowi,Negative
menteri ahy klarifikasi kritiknya ikn,Neutral
kemana ngandelin pantulan gelombang suara liat benda depannya spy nabrak eh melon rusak bisingnya mesin tercemar ketabrak benda depannya status pesut dilindungi loh eh ikn ngebunuh lucunya hidup indo,Negative
ngomong ngomong mobil smk keras ikn investor berebutan,Negative
bener ikn seharusnys dibangun pemerataan pembangunan pemindahan kota alam gue dikalimantan rusak,Negative
eh kotamu digusur ganti ikn,Negative
menteri atrkepala bpn agus harimurti yudhoyono ahy wamen atrwaka bpn raja juli antony kunjungan provinsi kalimantan timur tepatnya kota nusantara ikn selengkapnya,Neutral
smpe ikn susunya fermentasi jd yoghurt,Negative
eropa loh negara daratan dr balikpapan jakarta aja cmn jam trus dr balikpapan jakarta bikin kereta laut gitu bikin ikn aja udah teriak kayak cacing kepanasan,Negative
petani pertahankan lahan pembangunan bandara ikn ditangkap teroris keluarga protes sembilan kelompok tani saloloang kelurahan penajam paser utara ditangkap polisi lantaran berusaha mempertahankan lahan sawit milik,Negative
ikn penangkapan sembilan petani dituduh mengancam proyek bandara vvip tindakan sistematis masyarakat mempertahankan hak hidupnya bbc news indonesia,Negative
sunagakure ikn,Negative
otorita ikn nusantara pengelola kota negara australia sepakati,Positive
kritik ikn kemarin kemarin ajak,Negative
naaaa naaaaa nanaaaaa yeeewyeeeyewww tauu ikn,Negative
daerah penyangga ikn pj gubernur sulsel integrasikan pangkep kawasan mamminasata id,Neutral
rumahnya udah ikn ngawang kak,Negative
kode cepet pindah ikn,Neutral
baiknya buruknya si gw suka program citarum harum gw sengklek banget ikn woi,Negative
yoii kalo ikn mah pendukung ehhh gajadi deng,Negative
menteri atrkepala bpn agus harimurti yudhoyono ahy wamen atrwaka bpn raja juli antony kunjungan provinsi kalimantan timur tepatnya kota nusantara ikn,Neutral
coba kesini bahodopimorowali kota nikel hilirisasi banggakan mati lampunya mati lampu ampun listrik minus eh bangun ikn detik mati lampu berjamjam,Negative
ketumnya kritik ikn gimana ceritannya dibarisan jokowi,Negative
ibukota dipindahin ikn bang,Positive
kadang grogot kadang handil kadang ikn sih,Negative
ikn is so ba sing man,Neutral
ikn perlindungan pertahanan tni panglima agus rencana tni bangun kodam tempatkan pasmar ikn peningkatan lanud tipe,Positive
masukin deck ikn,Neutral
ikn tu disana anis mikir rakyat indo masi mikir tolol kek lu,Negative
also fyi sungai mahakam luas cmn sungai sepengkol ikn segede ciliwung luas temenku dr jakarta kalo jembatan mahakam kaget,Positive
namanya politik cak imin aja potong tumpeng ikn berkoalisi oposisi menolak ikn pas pilpres,Negative
proses pembangunan kota nusantara ikn berjalan samping fokus pembangunan infrastruktur fasilitas wilayah ikn pemerintah tengah berupaya menarik investasi negeri,Neutral
rindu dah pindah ikn woi,Positive
kisah manis ikn,Positive
pj gubernur sulsel berpeluang pemasok utama pangan ikn,Positive
jam ikn terminal kalimantan timur diresmikan jokowi memiliki fasilitas mutakhir,Positive
lokasi pesut mati tau ikn pesut tau pembangunan ikn menambah faktor matinya pesut,Negative
ribu prajurit tni pindah ikn tahun,Positive
video kunjungan ahy ikn nusantara jatuh cinta,Positive
anr walopun udh janjian jumat sarapan bareng beliyo skrg msh ikn,Negative
dikasih jabatan,Negative
mimpinya ditunda bngun ikn macem diinget rakyat umum kismin lu lu doang hidup,Negative
ikn perampasan perampokan rakyat nama kepentingan negara rakyat bajingan pemimpin pemimpin,Negative
soedirman guyur hujan titel jakarta berpindah ikn soon,Negative
tumbalin proyek ikn aja,Negative
ahy ikn mimpi presiden joko widodo jokowi menghadirkan pusat pemerintahan kemajuan bangsa,Positive
bukti ikn mimpi rakyat nkri mimpinya kekuasaan membangun dinasti,Negative
insya allah lancar pembangunan ikn,Positive
ayo lancarkan proses pembangunan ikn,Positive
bisnis ikn yaaa,Neutral
ikn macet anggaran habis dimakan gratis,Negative
sisi positif pembangunan ikn pemerataan wilayah kaltim kabupaten mahulu lewati kapal pembangunan darat jalan tanah menekan ha,Positive
