created_at,username,full_text,label
Tue Jan 30 23:10:53 +0000 2024,,IKN Nusantara🇮🇩 Menteri Basuki menjelaskan China kini sudah mempunyai teknologi kereta tanpa rel. Studi banding pun dilakukan untuk mempelajari hal tersebut. Maklum pembuatan kereta tanpa rel itu memang melibatkan perusahaan dari Negeri Tirai Bambu. _ Pondok Ranji Uzbekistan https://t.co/Ez3Z7j5RwW,Neutral
Tue Jan 30 23:10:33 +0000 2024,,@KompasTV Kpk sekarang ada dibawah presiden emang kpk punya nyali bisa2 pegawainya di mutasi ke ikn,Negative
Tue Jan 30 23:10:02 +0000 2024,,@MrxStaein52986 @UGM_FESS padahal di sini produksi tambangnya paling besar di Indonesia tapi hasilnya gapernah ke masyarakat sekitar. Sebenernya ya gausah dari sisi investor pemerintahnya yang ga pernah perhatiin kota2 di kalimantan. ,Negative
Tue Jan 30 23:08:56 +0000 2024,,@Ilustrator23 @kompascom @AbanggSayur Sapa bilang?? Lu aja kali gw kaga wkwk. Blunder amat tuh pilihnlu tu kmrin gk mau nerusin IKN mnding bngun 40 kota skrg ikut²n. Tiap bulan gnti trs nih yg mna btul tukang sayur,Positive
Tue Jan 30 23:08:25 +0000 2024,,dan untuk siapa capres yang akan gua pilih gua akan tetap merahasiakan pilihan gua tapi i wish siapapun nanti presiden nya plisss jangan stop pembangunan IKN DANN YANG PALING PENTING DARI GUA PILIH PEMIMPIN YANG NGGA ANTI KRITIK,Positive
Tue Jan 30 23:03:35 +0000 2024,,Saat ini ada 6 investor yang sudah mulai membangun hotel bintang empat dan bintang lima di IKN. https://t.co/mMjWdd2dkv,Neutral
Tue Jan 30 22:58:24 +0000 2024,,@kenzojaya_ @Mdy_Asmara1701 Lagian ikn yang nempatin juga gedung buat pejabat mending ratain sosial ekonomi lah daripada bangun gedung yang buat dinikmatin pejabat,Negative
Tue Jan 30 22:44:29 +0000 2024,,@kumparan Tom Lembong pasti tdk mau jika adu data IKN dilakukan dikantor Luhut. Kalau didepan publik saya yakin tantangan Luhut dan Bahlil akan diterima. Seperti tantangan Prabowo waktu debat Capres dgn alasan kendala waktu nantang lawan debatnya ketemu ,Neutral
Tue Jan 30 22:38:35 +0000 2024,,Penerapan Teknologi untuk Keberlanjutan Klaster Industri di Ibu Kota Negara https://t.co/JweP9ZRu5k #Jakarta #News #BeritaJakarta #IKN #Rekayasa,Neutral
Tue Jan 30 22:35:31 +0000 2024,,Apakha ini termasuk daftar gaji para CPNS IKN https://t.co/hj5sdMfVj7,Neutral
Tue Jan 30 22:31:00 +0000 2024,,Stanford University Amerika Serikat bakal melakukan peletakan batu pertama atau groundbreaking pusat ekosistem digital di IKN dalam dua bulan ke depan. https://t.co/GxgOHu1tz9,Neutral
Tue Jan 30 22:28:07 +0000 2024,,Kasih subsidi buat biaya pendidikan udh paling bener sihh MAKANYA OTAK LU JGN APA APA IKN!!!,Negative
Tue Jan 30 22:15:35 +0000 2024,,@AleamsBarra Menurut saya solusinya adalah bangun IKN Kereta Cepat..,Positive
Tue Jan 30 22:15:29 +0000 2024,,@RTPVX_ Gila ya 20% apbn buat pendidikan diapain yak lebih milih bangun ikn plus bansos demi putra mahkota,Negative
Tue Jan 30 22:06:53 +0000 2024,,@CNNIndonesia 250 ribu org akan masuk &amp,Neutral
Tue Jan 30 21:42:54 +0000 2024,,@NarasiNewsroom Tenang... sebentar lg dibayarin negara... IKN Kereta Cepat Food Estate I Food Estate II Subsidi Kendaraan Listrik Penghapusan Pajak Penghapusan Bea Barang Import Mewah aja ditanggung...,Negative
Tue Jan 30 21:36:30 +0000 2024,,kalo ga jadi ikn ya jadi chinatown,Negative
Tue Jan 30 21:28:46 +0000 2024,,Kalo IKN jadi orang Jakarta yg kerja di Ibu Kota bakal jadi perantau juga dong yaaa,Neutral
Tue Jan 30 21:26:49 +0000 2024,,@_riverheaven PAK Jokowi sampai Lupa sama IKN saking ngintil di Jateng terus.hehehe.,Negative
Tue Jan 30 19:32:15 +0000 2024,,@tvOneNews Amin.. lanjutkan ikn,Positive
Tue Jan 30 19:13:32 +0000 2024,,CPNS 2024 Akan Ditempatkan di IKN PANRB: Akan Mendapatkan Tunjangan Khusus https://t.co/qYOetoh3P5,Neutral
Tue Jan 30 19:03:52 +0000 2024,,@FirzaHusainID Dari video itu apa buktinya kalo itu jalan menuju IKN??? Bisa saja truk jalan amblas diambil di daerah antah barantah. Hahaha,Negative
Tue Jan 30 18:56:57 +0000 2024,,Peluang Emas! Pemerintah Prioritaskan Seleksi CPNS 2024 untuk Bergabung dengan IKN! https://t.co/wYw0ctsoUl,Neutral
Tue Jan 30 18:56:37 +0000 2024,,@kenzojaya_ @msaid_didu Kayaknya emang gak pernah ada pernyataan tidak akan meneruskan IKN deh.,Neutral
Tue Jan 30 18:50:29 +0000 2024,,TSM (terstruktur-sistematis-masif). tahun lalu aja mereka berani tumbalkan 894 org nyawa. Apalagi sekarang 2x lipat pun akan mereka lakukan. Reklamasi yg gagal ratusan triliun apalagi kalo IKN gatot bisa ribuan triliun.,Negative
Tue Jan 30 18:44:24 +0000 2024,,@CNNIndonesia Katanya Kerja..kerja..kerja.. koq dibagi duit? Mana Lapangan kerjanya? Loq dikasih Aseng? Katanya Utangnya gede.. koq bagi2 duit? Knp ga bagi2 utang? Katanya Bangsa bermartabat koq dididik mental pengemis?? Katanya APBN defisit..,Neutral
Tue Jan 30 18:42:38 +0000 2024,,IKN merupakan keinginan bung karno untuk itu melanjutkan pembangunan IKN sama saja meneruskan cita-cita bung karno #GanjarMahfud2024 #3GASPOL #ganjarpresidenrakyat https://t.co/JkFVjxyKD0,Negative
Tue Jan 30 18:23:43 +0000 2024,,@yangmi3prnew Kenapa dinamai SEPAKU ? Pasti gag ada yg tahu bahkan inisiator IKN pun tak tahu Tapi tetep semoga bisa terlaksana Upacara 17 Agustus 2024,Positive
Tue Jan 30 18:17:02 +0000 2024,,@UGM_FESS Msh mending APBN dikorupsi uangnya ada IKN ini bangunnya pake 'hutang' negara 40% 'dimakan' trs rakyat yg disuruh bayar rela ga sih??,Positive
Tue Jan 30 18:14:46 +0000 2024,,@NOTASLIMBOY lah sehat gak sehat mah prabowo tetep ditendang ke IKN. jabodetabek mah punya gibran owi dan sekeluarga https://t.co/K0cT8AAHp4,Negative
Tue Jan 30 18:13:59 +0000 2024,,@PDemokrat Gk ada pendirian udh kyk NPC aja ni partai jadinya. Miris jga sih partai lama partai kuat pd zamannya sekarang udah 11 12 sma PSI. Merosot ni pasti kursi demokrat. Dlu sya suka demokrat tpi sekarang mohon maaf kota sya juga butuh dibangun Indonesia merdeka,Neutral
Tue Jan 30 17:53:16 +0000 2024,,@sutanmangara @pakaipeci Jangan salah martabak @gibran_tweet sangat luar biasa 1 investor saja bisa dgn angka fantastis 98 milyar. Yang fantastis lagi si investor jadi dubes korsel dan wakil ketua ikn hebat kan..ponakan paman usman.,Negative
Tue Jan 30 17:43:33 +0000 2024,,@nastarcrumbs @rin_yjg @ImamRamadan20 @gus_dibyo Lah cara pertama tentu Anies harus menang dulu loe pilih dia besok ya kasih kabar keluarga handai taulan sanak famili n teman² loe. Utk loe perlu tau DKI jmn Anies telur n beberapa sembako disubsidi. ,Neutral
Tue Jan 30 17:40:50 +0000 2024,,@JokoHQ Orang market mana yg percaya utang 8000 T blm IKN blm makan siang gratis blm good estate bisa buat gairah IHSG MARKET PINJOL KALI LU,Negative
Tue Jan 30 17:40:22 +0000 2024,,@HanJin05 Tidaaaak ini bukan di IKN nya Jiiin ini di Jalan Nasional menuju lokasi IKN Kalau yg di IKN kita liat ntar,Neutral
Tue Jan 30 17:38:55 +0000 2024,,Hah Akses Jalan Menuju IKN Amblas Diduga Struktur Ja : https://t.co/32c2FzKAgF,Negative
Tue Jan 30 17:38:47 +0000 2024,,@Mdy_Asmara1701 Kami Melayu dan Dayak memang dr dulu selalu di anak tirikan beda dgn jawa yg selalu jadi anak emas masih ada kesempatan Amin menarik niat nya menghentikan IKN kalau mau dpt 10% suara kalimantan,Positive
Tue Jan 30 17:36:31 +0000 2024,,@Mdy_Asmara1701 Wkwkwk tau ah gelap mau dpt Suara di kalimantan tapi harapan orang kalimantan tentang IKN di bunuh tentang kalimantan yg maju kami kalimantan memang hanya 10% suara nasional tak berpengaruh juga bagi kalian tapi dosa rasanya memilih orang,Negative
Tue Jan 30 17:33:08 +0000 2024,,@adearmando61 Buang ke IKN sekalian gerombolannya termasuk armagendeng..,Negative
Tue Jan 30 17:32:05 +0000 2024,,@asumsico Makanya tutup aja itu IKN,Negative
Tue Jan 30 17:31:35 +0000 2024,,@UncDeep Coba dana utk IKN di alihkan kan utk biaya pendidikan agar ank Indonesia semangat untuk nuntut ilmu Emang parahhhh Zaman pak lurah ni hancur minah,Negative
Tue Jan 30 17:18:50 +0000 2024,,Bagaimana kita mau lanjutin IKN atau Program lainya Jokowi sendiri sdh memecah Rakyatnya sendiri. Semua Programnya penuh dengan Mesum . 9 tahun membangun hancur dg 1 tahun Mental Mesumnya .,Negative
Tue Jan 30 17:18:47 +0000 2024,,@Fahrihamzah Di mana negara kita kehabisan uang. Makan siang dan susu gratis dana desa 5m melanjutkan ikn melanjutkan food estate internet gratis,Negative
Tue Jan 30 17:09:47 +0000 2024,,@selenophile46 Belum lihat design ikn soalnya,Neutral
Tue Jan 30 17:06:30 +0000 2024,,Temukan MENSBATIK - IKN 7 - batik pria - kemeja batik - batik pria lengan panjang - batik pria modern - batik anak muda seharga Rp295.000. Dapatkan sekarang juga di Shopee! https://t.co/l8bh8NsKm0 #ShopeeID #Shopee #Twitter,Neutral
Tue Jan 30 16:53:10 +0000 2024,,Saya mo bilang you could've so much more instead of IKN tp tersadar itu baru sekedar janji politiknya 01 pak @aniesbaswedan Kalo berani ttd kontrak politik bisa jg kemungkinan gaet suara mereka Semoga siapapun presidennya pulau selain Jawa lebih diperhatiin lagi Tp jgn 02 pls,Negative
Tue Jan 30 16:52:41 +0000 2024,,GILA? akun yang menyuarakan keadaan kalimantan tadi dan bicara soal IKN penting tiba-tiba hilang? pdhl baru 600an yang like dan RT ini dia deactive atau karena banyak yang report? https://t.co/kbhsUPDO9s,Neutral
Tue Jan 30 16:46:11 +0000 2024,,@ExNarkoboyz Kalo lihat survei LSI Denny JA hari ini ada kepastian IKN dan pembangunan Kalimantan dilanjutkan ️️,Positive
Tue Jan 30 16:44:39 +0000 2024,,PGN juga terbuka untuk berkolaborasi dengan berbagai pihak guna membangun IKN pada sektor infrastruktur gas bumi. https://t.co/3QWfBRvtU4,Positive
Tue Jan 30 16:43:28 +0000 2024,,@darashinaii @gsjslsjsh @ExNarkoboyz Dalah mbak diem aja udah nohh orng kalimantan sendiri kok yg merasakan dampak ada ikn. Kok mbaknya yg gk tinggal di ikn merasa paling tau bener,Negative
Tue Jan 30 16:40:33 +0000 2024,,Tetap memperhatikan pelestarian lingkungan dalam upaya melanjutkan pembangunan IKN. Ganjar Mahfud presiden rakyat. #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/kuy5cFcx4x,Positive
Tue Jan 30 16:39:39 +0000 2024,,Cobadeh kalian sesekali liat update PT PP PT WIKA atau PT manapun deh yang sedang membangun IKN. Sebagus itu rancangan IKN dengan konsep kota ramah lingkungan. Kalo sampe itu ga dilanjut sedih sih membuang peluang yang sudah ada di depan mata.,Positive
Tue Jan 30 16:37:05 +0000 2024,,@howlydei @megatKT @asumsico Belum lagi abis revisi UU IKN akhir tahun kemaren sekarang udah ada yang mengatur pendanaan IKN skema pinjaman hutang limit pendanaan APBN-nya udah mau tercapai 20% makanya ngakalin pake cara lain ujung2nya ya hutang itu APBN,Negative
Tue Jan 30 16:36:36 +0000 2024,,250 Ribu CPNS Muda Akan Dites untuk Ditempatkan di IKN Maret Ini. IKN lanjut.... anies hanyut.... Pilih Prabowo yg melanjutkan IKN https://t.co/zhXC8YBXTQ,Negative
Tue Jan 30 16:36:35 +0000 2024,,Kerja sat set melanjutkan IKN proyek yg sudah ada tinggal gaspoll membangun #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/oYgDiY9XHA,Positive
Tue Jan 30 16:36:32 +0000 2024,,Tahu ai di Banua ni saraba ngalih kd nang kaya di Jawa cuma ya mun ditelaah lebih lanjut ikam meanggap IKN tuh obat gsn pemerataan ekonomi ya salah jua. Nyatakan yang salah tu salah perbaiki gawi yang bujur.,Negative
Tue Jan 30 16:36:27 +0000 2024,,@UGM_FESS lu tolol apa gimana ikn itu kalo anggarannya buat bensin bisa sejahtera rakyat bertahun tahun ikn cuma ikon tapi bikin anggaran membengkak fuck investor,Negative
Tue Jan 30 16:35:51 +0000 2024,,IKN lanjut tapi warga juga wajib dibahagiakan dan disejahterakan #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/OwRk41B5Jl,Positive
Tue Jan 30 16:34:47 +0000 2024,,Ganjar Mahfud siap melanjutkan program ikn dengan sat set #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/NYjJottkQR,Positive
Tue Jan 30 16:33:24 +0000 2024,,Di mana-mana munnya pindah Ibukota tuh administrasi yang pindah pusat ekonomi ya di situ-situ. Mun ikam bealasan pemerataan ekonomi solusinya majukan daerah km sorang berantas korupsi di Pemda. IKN tuh lain solusi gsn pemerataan ekonomi itu solusi permasalahan lain.,Negative
Tue Jan 30 16:33:11 +0000 2024,,Ini bukan masalah keberpihakan gua ke capres manapun ya tapi kalo bicara soal IKN ini sungguh miris masih banyak yang mengira IKN tidak sepenting itu ini untuk masa depan negara loh bisa-bisanya merasa lebih penting hal lain dahulu yang dipenuhi,Positive
Tue Jan 30 16:33:08 +0000 2024,,Bukan pengusaha tambang bukan cukong IKN bukan pejabat bukan artis terus keuntunganmu apa coba pilih 02 ? Ga ada ikhtiar mendobrak status quo gitu ?,Negative
Tue Jan 30 16:32:22 +0000 2024,,@UGM_FESS Setau ku bukan nolak IKN penuh lebih ke bukan prioritas aja. Karena ada program yang lebih urgent. IKN juga bakal di audit total dari seluruh aspek sampai benar benar layak di lanjutkan tetapi pembangunannya perlahan lahan,Neutral
Tue Jan 30 16:31:23 +0000 2024,,Amunnya narasi pemerataan ekonomi tuh dipakai gsn membela IKN mana buktinya kalau pindah ibukota tuh berbanding lurus dengan pertumbuhan ekonomi? Paperwork IKN yang singkat bnr tuh kypa kabarnya? Handak beagak pindah ibukota tapi penelitian seadanya.,Negative
Tue Jan 30 16:29:50 +0000 2024,,@dyingmagnolia_ @UGM_FESS kak kayu2 yg dibabat utk lokasi ikn pada kemana ku kepo,Neutral
Tue Jan 30 16:29:01 +0000 2024,,@Sera9292 @xxmslj @ExNarkoboyz mba masalah itu juga setiap ganti presiden ga kelar-kelar lihat deh dari zaman sby kalo fokusnya kesitu terus berarti arti IKN bukan prioritas disini bisa-bisa dibiarkan mangkrak,Negative
Tue Jan 30 16:26:30 +0000 2024,,@Sera9292 @ExNarkoboyz kak sera yang baik ini saya bukan buzzer capres manapun tapi kalo pembangunan IKN bukan sebuah prioritas lantas kapan selesainya IKN ini? apakah kalo bukan prioritas akan ada kemungkinan menjadi terbengkalai seperti yang sudah-sudah,Neutral
Tue Jan 30 16:25:58 +0000 2024,,@strike_bravo_b Mknya investor ikn yang masih ngotak pada cabut invest nya soalnya takut reklamasi jilid 2 wkwkw,Negative
Tue Jan 30 16:25:38 +0000 2024,,@hsflbsls @Mdy_Asmara1701 Tdk bisalah tdk masalah ekonomi dli jawa yg pasti selesaikan IKN maaf kalau tdk ada komitmen dari AMIN kami kalimantan pasti NO kalau tdk percaya bukuikan 14 febuari 01 pasti tdk dpt suara paling pilih relawan,Positive
Tue Jan 30 16:19:08 +0000 2024,,KemenPAN-RB akan memperketat seleksi ASN yang akan dipindah ke IKN Nusantara. https://t.co/BEQRpG9EUZ,Neutral
Tue Jan 30 16:17:03 +0000 2024,,DIBACA GUYS! IKN itu penting jangan karena kampanye politik langsung mudah percaya dan yakin kalo IKN ga sepenting itu buat rakyat dan negara Siapapun presiden selanjutnya harus melanjutkan IKN. Rencana IKN sudah sejak zaman Bung Karno (Palangkaraya) dan Pak Harto (Jonggol),Positive
Tue Jan 30 16:16:49 +0000 2024,,@tvOneNews Ikn Dan food estate dipaksakan bisa di cek siapa sj yg punya lahan disitu siapa sj yg mendapatkan proyeknya ini adalah transaksi yg dimulai dgn yg namanya konsolidasi yg mengatasnamakan keutuhan negara. Silakan cek n ricek akan paham.,Negative
Tue Jan 30 16:16:22 +0000 2024,,@asalbukanprabwo @kenzojaya_ @mardigu024 Kalteng juga banyak yang menolak IKN lagipula jarak dari Kalteng ke IKN jauh juga bisa 4 hari an wkwkk mungkin dia orang penajam nya kali,Negative
Tue Jan 30 16:16:08 +0000 2024,,@NenkMonica Wkwkwk Diliat dulu fraksi mana saja yg setuju ruu ikn Perasaan cuma pks yg nolak,Positive
Tue Jan 30 16:14:51 +0000 2024,,@ExNarkoboyz Bapak ku aja yg dari 2013 merantau juga bilang jaman ikn diadakan perubahan besar buat Kalimantan mana udah gak kyk dlu yg sering mati lampunya bisa berhari hari pulapokonya udah gak kayak dlu yg hutab doang jalan aja mulus skrg,Positive
Tue Jan 30 16:14:09 +0000 2024,,Hunian PNS dan Rumah Menteri di IKN Nusantara Bakal Tersambung Jaringan Gas Bumi https://t.co/JX1pvPv8hm,Neutral
Tue Jan 30 16:13:56 +0000 2024,,@UGM_FESS Sebenernya maunya IKN atau maunya pemerataan nih ?,Neutral
Tue Jan 30 16:13:11 +0000 2024,,Ngeliat rancangan arsitektur dan tata kota IKN aku takjub. Pak Jokowi mau bangun ibukota apa atlantis? Cantik banget,Positive
Tue Jan 30 16:09:32 +0000 2024,,https://t.co/pABNrYsmdF Mungkinkah Robot Akan Menggantikan Manusia di IKN? Ini Kata Kepala Otorita #BANSOSLANJUT3 #Politik #Fahri #Pemilu2024AmanDamai,Neutral
Tue Jan 30 16:07:01 +0000 2024,,Apakah kalau IKN sudah resmi JKT48 bakal jadi IKN48 ? saya bukan fansnya soalnya.,Neutral
Tue Jan 30 16:05:41 +0000 2024,,@UGM_FESS IKN dilanjut tp perlu dikaji ulang. Pak anies sbg akademisi/teknokrat gabisa memutuskan sebelum riset. mahasiswa harusnya paham ini kita blm bisa ambil kesimpulan sebelum ada data yg dibahas/dikaji pak anies udh berkali2 bilang apbn akan sesuai,Positive
Tue Jan 30 16:02:35 +0000 2024,,@UGM_FESS Drpd ikn mending lu selametin jakarta dr tenggelam 2050,Negative
Tue Jan 30 15:37:28 +0000 2024,,@howlydei @megatKT @asumsico Ya bikin skema hutang baru (jual SBN kan bisa). Itu IKN dan Bansos waktu Covid ya sebagian besar dari SBN jangka panjang (ada yg tenor 50 tahun). Cuma kendalanya tingkat fraud (kejahatan) keuangan di Indonesia ini sangat tingg,Negative
Tue Jan 30 15:35:06 +0000 2024,,GILAAAA Salma Sheryl digbungin dblkill cok ktawa ngakakny SS muter2 diotak gw smpe skrg prut gw keram ngakk mulu ni collab party paling pecah menurut gw dr bahs musik ikn cupang muka ditruk tp suara ngakakny sih GOKSS @sherylsheinafia @gezhept #SalmaSalsabilxSherylSheinafia https://t.co/xIJ9V15I89,Neutral
Tue Jan 30 15:33:33 +0000 2024,,@ExNarkoboyz justru IKN bukan pemerataan bego banget dah ah,Negative
Tue Jan 30 15:30:57 +0000 2024,,Menteri PPN/Kepala Bappenas Suharso Monoarfa membantah tudingan investor enggan masuk ke proyek Ibu Kota Negara (IKN) Nusantara. https://t.co/tJcgYGQHHK,Neutral
Tue Jan 30 15:28:08 +0000 2024,,kalo emg IKN ini simbol pemerataan pembangunan dari segi mana yg rata? ini cuma mindahin. bahkan daerah Kalimantan yg lain (di luar daerah IKN) ga dapet apa2. org Sumatra Papua dapet apa dari IKN? IKN kan proyek nasional skala besar. tp yg dpet manfaatnya cm itu2 aja.,Negative
Tue Jan 30 15:28:06 +0000 2024,,-org2 ga perlu lg merantau ke ibu kota semua. IKN lanjut itu sama artinya menciptakan 'Jakarta' baru. orang2 kedepannya ttep akan merantau kesana. yg puluhan taun mendatang bisa aja daerah IKN ngalamin isu iklim &amp,Negative
Tue Jan 30 15:28:04 +0000 2024,,IKN juga gitu. jakarta full pembangunan gak merata solusinya: dipindah. padahal pertanyaannya kenapa jkt overload? knp org berbondong2 urbanisasi ke jkt? di jkt ada apa? solusi AMIN ya bikin kota kayak jkt tp ada 40. pembangunan lebih merata semua kota dapet manfaatnya,Negative
Tue Jan 30 15:28:03 +0000 2024,,mulai masuk akal klo program upgrade 40 kota setara Jakarta itu lebih baik drpd IKN. lagi-lagi IKN ini kayak program susu dan makan gratis solusi instan. stunting ya dikasih makan. Jakarta full ya dipindah.,Negative
Tue Jan 30 15:28:02 +0000 2024,,prinsipnya dia mau memberi kesempatan ke semua kalangan. IKN itu program dg budget yg byk. kalo lanjut yg dapet manfaat cm org itu2 aja (Jakarta daerah IKN pemerintah dll). apalagi pas aku baca berita IKN ini didasari sbg simbol pembangunan. budget segitu untuk simbol?,Negative
Tue Jan 30 15:28:01 +0000 2024,,awalnya aku jg khawatir karena dr gerak geriknya 01 most likely ga lanjutin IKN (ya walaupun bilangnya mau dikaji ulang ya) tapi setelah nonton Desak Anies dan video beliau yg lain aku agak tercerahkan. ada 1 prinsip beliau yg selalu diaplikasiin di setiap konteks/kebijakan.,Neutral
Tue Jan 30 15:27:59 +0000 2024,,kemarin ngobrol sm temen ttg IKN. dia gamau milih capres yg masih meragukan keberlanjutan IKN. karena menurut dia Jakarta udh darurat isu iklim &amp,Positive
Tue Jan 30 15:27:48 +0000 2024,,coba yang bilang IKN gaguna dibaca lagi sebagai anak kalimantan saya relate,Negative
Tue Jan 30 15:23:20 +0000 2024,,@Kenikir27 @P4P4B0W0_2024 @Ndons_Back @An4Julie @are_inismyname @Bank_Joee_ @BANGSAygSUJUD @BabehAldoAje135 @yosephrosario_ @JordanMihaf @Royan_02 Ya sianis dan imin kan tolak ikn dan hilirisasi,Negative
Tue Jan 30 15:22:46 +0000 2024,,@Dahnilanzar @prabowo @gibran_tweet itu pengennya pak prabowo ya ya mungkin saja. trus bapaknya si gibran pasti lain lagi deh pengennya. lanjutkan IKN lanjutkan ini lanjutkan itu perkaya terus tuh cina dan masukkan imigran cina sebanyak-banyaknya. udah de,Negative
Tue Jan 30 15:21:59 +0000 2024,,@UGM_FESS IKN sudah ada Undang-undang nya jadi ya bakal tetep lanjut cuma ya dikaji ulang kayak anggaran dll nyaa,Positive
Wed Feb 28 23:59:23 +0000 2024,,Gue paham kok grand design dipikiran Bos besar dengan pembangunan IKN dan juga pembangunan KC. but man... utopis,Negative
Wed Feb 28 23:59:03 +0000 2024,,@salonkecantipan Iyaaaa. Maaf ya aku salah ngetik. Aku gak ada niat apapun buat membawa opini kalau IKN itu bukan salah faktor yang dapat mempengaruhi kok https://t.co/er15fnAIz3,Neutral
Wed Feb 28 23:58:56 +0000 2024,,random bgt lagi baca berita perencanaan tata kota IKN ada yg komen rental psnya nanti dmn min,Neutral
Wed Feb 28 23:57:18 +0000 2024,,AHY Khawatir Pembangunan IKN Mangkrak Rakyat Jadi Menderita https://t.co/sMlhbSK6YI,Negative
Wed Feb 28 23:55:03 +0000 2024,,@AgusYudhoyono Sekedar info mas coba tanya sama bawahan mas Siapa yang memguasai lahan disekitar IKN pasti anda tercenagang mendengarnya apa berani menertibkan penguasa lahan² disekitar IKN atau Kaltim dan sekitarnya #Cumananya,Negative
Wed Feb 28 23:54:34 +0000 2024,,@cobeh2022 ya biarin wowok pindah ke IKN,Negative
Wed Feb 28 23:50:23 +0000 2024,,IKN Nusantara,Neutral
Wed Feb 28 23:50:12 +0000 2024,,Jd inget pas anaknya ditanyain investor IKN luar negeri malah nyuruh googling,Negative
